SKU,Descripcion,Familia,Linea,Fabricante,Precio_Lista,Moneda,Porcentaje_IVA,Porcentaje_IEPS
4011AM,CHOCO SEMI AMARGO Y CHOCO C/LECHE 340G,NULL,RUSSEL,RUSELL,215,Pesos,0,8
9975 AC,NUECES Y CARAMELOS CUBIERTOS CON CHOCO SEMI AMARGO 312 G,NULL,RUSSEL,RUSELL,215,Pesos,0,8
9983AM,NUECES Y CARAMELOS CUBIERTOS CON CHOCOLATE CON LECHE 340 G,NULL,RUSSEL,RUSELL,215,Pesos,0,8
USCL1000X4 - C,PACK DE CHOCOLATE MR BEAST SABORES SURTIDOS 240 G  (COSTCO),CHOCOLATES,FEASTABLES,FEASTABLES,213,Pesos,0,8
AT47248,GOMITAS DE RANAS 1 KG,GOMITAS,HARIBO,HARIBO,207,Pesos,0,8
USCL6000,MR BEAST 6 PACK CHOCOLATES SURTIDOS 210 G,CHOCOLATES,FEASTABLES,FEASTABLES,206,Pesos,0,8
506408,MANGO ENCHILADO 640 GRS,FRUTA SECA,BALMORO,BALMORO,205,Pesos,0,8
3 PACK 61800 JB,PAQUETE DE 3 PZAS JELLY BELLY REPUESTOS BEAN BOOZLED,GOMITAS,JELLY BELLY,JELLY BELLY,202.78,Pesos,0,8
102131300,POLVO ISO DRINK NARANJA 440 G,DEXTRO,,DEXTRO,200,Pesos,16,0
PULPA-ACAI,FRUTA DE PULPA DE ACAI KG,PULPA,BTL AGRONEGOCIOS,BTL AGRONEGOCIOS,195,Pesos,16,0
AT47251-3,PAQUETE DE GOMITAS DE RANAS DE 200 GRS C/U,GOMITAS,JELLY BELLY,HARIBO,191.6666,Pesos,0,8
99999995,CAR CHARGES JELLY BELLY,GOMITAS,JELLY BELLY,JELLY BELLY,188.43,Pesos,16,0
AT32367,GOMITAS HAPPY COLA  1 KG,GOMITAS,HARIBO,HARIBO,184,Pesos,0,8
KIT BITES 4 X 142,KIT BITES AMERICAN LICORICE 4 X 142 GRS,GOMITAS,AMERICAN LICORICE COMPANY,AMERICAN LICORICE COMPANY,183.33,Pesos,0,8
250LMR,LATA MINI RITTER 250GRS,NULL,RITTER,RITTER,180,Pesos,0,8
AT30185,GOMITAS DE OSITOS 1 KG,GOMITAS,HARIBO,HARIBO,180,Pesos,0,8
AT37721,GOMITAS GUSANOS 1 KG,GOMITAS,HARIBO,HARIBO,180,Pesos,0,8
AT37777,GOMITAS STARMIX 1 KG,GOMITAS,HARIBO,HARIBO,180,Pesos,0,8
CHCOVA 3,CHOCOLATE COLOR VARIETY 3 PZAS,NULL,RITTER,RITTER,179,Pesos,0,8
AT30970,GOMITAS DE CEREZAS 1 KG,GOMITAS,HARIBO,HARIBO,175,Pesos,0,8
AT31216,GOMITAS DE CHUPONES  1 KG,GOMITAS,HARIBO,HARIBO,175,Pesos,0,8
AT40526,GOMITAS SABOR FRESA 1 KG,GOMITAS,HARIBO,HARIBO,175,Pesos,0,8
CHAROLA-HA,CHAROLA DE DEGUSTACION TERMOFORMADA HARIBO,,HARIBO,HARIBO,175,Pesos,16,0
USCP2107,ESTUCHE CHOCOLATE MR BEAST EDICION PASCUA 175 GR,CHOCOLATES,FEASTABLES,FEASTABLES,175,Pesos,0,8
35777,JELLY BELLY A GRANEL 49 SABORES SURTIDOS 1 KG.,NULL,JELLY BELLY,JELLY BELLY,170,Pesos,0,8
T564,PALETA TRENZADA MEGA DISPLAY COLORES 93 GRS,,,PROCESADORA DE DULCES TIPICOS S.A. DE C.V,168.68,Pesos,0,8
1007577270K,GOMA ENCHILADA DE FRUTAS GRANEL 1 KILO,GOMITAS,BALMORO,BALMORO,166,Pesos,0,8
1082931224K,GOMA ENCHILADA DE AROS GRANEL 1 KILO,GOMITAS,BALMORO,BALMORO,166,Pesos,0,8
13656525K,GOMA DE AROS GRANEL 1 KILO,GOMITAS,BALMORO,BALMORO,166,Pesos,0,8
15996897K,GOMA DE FRUTAS A GRANEL 1 KILO,GOMITAS,BALMORO,BALMORO,166,Pesos,0,8
102131401 SP,TABLETA EFERVESCENTE ZERO NARANJA 82 G,DEXTRO,DEXTRO,DEXTRO,165.88,Pesos,16,0
102131402 SP,TABLETA EFERVESCENTE ZERO CEREZA 82 G,DEXTRO,DEXTRO,DEXTRO,165.88,Pesos,16,0
102131403 SP,TABLETA EFERVESCENTE ZERO LIMON 82 G,DEXTRO,DEXTRO,DEXTRO,165.88,Pesos,16,0
